program,organization,phone_number,fax_number,email,website,address,hours,contact,description,fees,application,eligibility,languages,areas_served
Leaside Park Dr Office - Ontario Employment Services,Thorncliffe Neighbourhood Office,416-467-0126,416-467-9145,info@thorncliffe.org,www.thorncliffe.org,"1 Leaside Park Dr, Unit 7",Mon 9 am-9 pm; Tue-Fri 9 am-5 pm,Natasa Bikova - Executive Assistant,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in CanadaYouth Job Connection -- Ontario residents 15-29 years who are eligible to work in Canada, unemployed, not attending school full time and experiencing multiple barriers to employmentYouth Job Connection Summer  -- Ontario residents 15-18 years who intend to continue high school or go on to postsecondary education after the job placement * focus on those facing challenging life circumstances and at risk of experiencing poor transitions between education and workEmployers can get help in identifying their human resource skill requirements, matching of position/workplace needs to participants' skills, capabilities, interests and experience, and support for developing on-the-job training plans and monitoring of placements to support success and retention",English ; Polish ; Hungarian ; Arabic ; Punjabi ; Serbian ; Russian ; Urdu ; Somali ; Bengali ; Hindi ; Gujarati ; Romanian ; Croatian ; Chinese (Mandarin) ; Farsi ; Tamil ; Chinese (Cantonese) ; Dari ; Pashto,"East York, Toronto"
ACCES Employment - Toronto Location,,416-921-1800,416-921-3055,info@accesemployment.ca,www.accesemployment.ca,"489 College St, Ste 100","Mon, Wed 9 am-8:30 pm; Tue, Thu, Fri 9 am-5 pm",Tania Whyte - Site Manager," Bridge Training Program -- Sector-specific job search strategies and services for internationally-trained professionals * sectors include Engineering, Entrepreneurship, Financial Services,",None,No appointment necessary; drop-in,Varies by program,English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Ontario Employment Services,Newcomer Women's Services Toronto,416-751-8886,416-751-8890,new@newcomerwomen.org,www.newcomerwomen.org,"745 Danforth Ave, Ste 401","Mon-Fri 9 am-12 noon, 12:30 pm-4:30 pm",Florencia Leston - Manager of Operations,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,Immigrant and refugee women including Canadian citizens,English ; French ; Italian ; German ; Spanish ; Arabic ; Serbian ; Japanese ; Russian ; Bengali ; Hindi ; Croatian ; Chinese (Mandarin) ; Bosnian ; Farsi ; Albanian ; Chinese (Cantonese) ; Konkani ; Ndebele ; Shona ; Swahili ; Turkish ; Zulu,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Ontario Employment Services,ACCES Employment - Toronto Location,416-921-1800,416-921-3055,info@accesemployment.ca,www.accesemployment.ca,"489 College St, Ste 100","Office -- Mon-Fri 9 am-5 pm * Resource Centre -- Mon, Wed 9 am-8:30 pm; Tue, Thu-Fri 9 am-5 pm",,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Connection -- Ontario residents 15-29 years who are eligible to work in Canada, unemployed, not attending school full time and experiencing multiple barriers to employmentYouth Job Connection Summer -- Ontario residents 15-18 years who intend to continue high school or go on to postsecondary education after the job placement * focus on those facing challenging life circumstances and at risk of experiencing poor transitions between education and workYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in Canada",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Employment Source Jane Finch - Ontario Employment Services,JVS Toronto - Head Office,416-636-2481,416-479-3823,esjfinquiries@jvstoronto.org,www.jvstoronto.org,Jane Finch Mall,Mon-Fri 9 am-5 pm,"Hayley Hawkins - Manager, Employment Source Jane Finch","Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",Free * nominal fees for non-work related photocopying,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Connection -- Ontario residents 15-29 years who are eligible to work in Canada, unemployed, not attending school full time and experiencing multiple barriers to employmentYouth Job Connection Summer -- Ontario residents 15-18 years who intend to continue high school or go on to postsecondary education after the job placement * focus on those facing challenging life circumstances and at risk of experiencing poor transitions between education and workYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in Canada",English ; Italian ; Spanish ; Urdu ; Somali,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Head Office - Ontario Employment Services,Neighbourhood Link Support Services,416-691-7407,416-698-6453,info@neighbourhoodlink.org,www.neighbourhoodlink.org,3036 Danforth Ave,"Mon-Thu 9 am-4 pm, Fri 9 am-1 pm",Bindu D'Cunha - Administrative Assistant,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario contact centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in CanadaEmployers can get help in identifying their human resource skill requirements, matching of position/workplace needs to participants' skills, capabilities, interests and experience, and support for developing on-the-job training plans and monitoring of placements to support success and retention",English,"East York, Toronto"
JobStart - Dufferin Street - Ontario Employment Services,,416-231-2295,416-253-2728,info@jobstartworks.org,www.jobstartworks.org,"219 Dufferin St, Ste 1C","Mon, Wed, Thu 9 am-5 pm, Tue 9 am-7 pm, Fri 9 am-4 pm * closed on statutory holidays","Jemima Sabapathy - Director, Programs and Services","Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Connection -- Ontario residents 15-29 years who are eligible to work in Canada, unemployed, not attending school full time and experiencing multiple barriers to employment Youth Job Connection Summer -- Ontario residents 15-18 years who intend to continue high school or go on to postsecondary education after the job placement * focus on those facing challenging life circumstances and at risk of experiencing poor transitions between education and workYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in CanadaEmployment Accessibility for Students -- postsecondary students and recent graduates with disabilities",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Queen Street East Site - Employment Services Centre,WoodGreen Community Services,416-462-3110 ext 2316,416-469-3187,employmentservices@woodgreen.org,www.woodgreen.org,1080 Queen St E,Mon-Fri 9:15 am-4:45 pm,Jane Nares - Manager of Employment Services,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in CanadaEmployers can get help in identifying their human resource skill requirements, matching of position/workplace needs to participants' skills, capabilities, interests and experience, and support for developing on-the-job training plans and monitoring of placements to support success and retention",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
989 Danforth Avenue Site - Employment Services Centre,WoodGreen Community Services,416-645-6000 ext 2218,416-405-8936,employmentservices@woodgreen.org,www.woodgreen.org,989 Danforth Ave,Mon-Fri 9:15 am-4:45 pm,Sipho Kwaku - Director of Employment Services,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in CanadaEmployers can get help in identifying their human resource skill requirements, matching of position/workplace needs to participants' skills, capabilities, interests and experience, and support for developing on-the-job training plans and monitoring of placements to support success and retention",English ; Spanish ; Polish ; Urdu ; Bengali ; Hindi ; Chinese (Mandarin) ; Farsi ; Chinese (Cantonese),"East York, Toronto"
Attwell Employment and Social Services - Etobicoke North Social Services - Ontario Works,,General Inquiry:  416-392-6400,416-392-4213,,www.toronto.ca/socialservices,"220 Attwell Rd, Unit 4","Mon, Wed, Fri 8:30am-4:30pm * Tue, Thu: 8:30am-6pm",,"Services to city residents, including employment services, financial benefits and social supports",None,Call for details,Live in Ontario ,English ; French,Toronto (Etobicoke)
Queen Street East Employment Office - Ontario Employment Services,Fred Victor,416-364-8986,416-364-4728,ets@fredvictor.org,www.fredvictor.org/employment_training,248 Queen St E,"Mon 10 am-4 pm, by appointment only * Tue-Fri 10 am-5 pm",Stephen Morrissey - Acting Senior Manager,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in CanadaEmployers can get help in identifying their human resource skill requirements, matching of position/workplace needs to participants' skills, capabilities, interests and experience, and support for developing on-the-job training plans and monitoring of placements to support success and retention",English ; Amharic ; Tigrinya,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Employment Services,Epilepsy Toronto,416-964-9095,416-964-2492,info@epilepsytoronto.org,www.epilepsytoronto.org,"468 Queen St E, Ste 210",Mon-Fri 9 am-5 pm * evening counselling by appointment,"Carter Hammett - Manager, Employment Services","Assistance in achieving work related goals and gaining independence * intake, assessment and action planning * counselling on determining job goals and developing effective coping strategies for",,Ontario Employment Assistance Services (OEAS) -- call or email,"Ontario Employment Assistance Services (OEAS) -- individuals with epilepsy, 18 years and older who are unemployed",English ; French,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Ontario Employment Services,West Neighbourhood House,416-848-7980,416-848-7985,angelaba@westnh.org,www.westnh.org/adults/index.php,1033 King St W,"Mon-Tue 9 am-6 pm, Wed-Thu 9 am-8 pm, Fri 9 am-5 pm","Angela Barrass - Coordinator, Employment Services","Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in CanadaEmployers can get help in identifying their human resource skill requirements, matching of position/workplace needs to participants' skills, capabilities, interests and experience, and support for developing on-the-job training plans and monitoring of placements to support success and retention",English,"East York, Toronto"
Flemingdon Park Employment Centre - Ontario Employment Services,Skills for Change,416-645-2489,416-645-2497,eo-east@skillsforchange.org,www.skillsforchange.org,"10 Gateway Blvd, Unit 105","Mon-Sat 9 am-5 pm, also Tue-Thu 5 pm-8 pm",Mahesh Rohit - Supervisor,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call 416-645-2489 ext 0 for appointment * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in CanadaEmployers can get help in identifying their human resource skill requirements, matching of position/workplace needs to participants' skills, capabilities, interests and experience, and support for developing on-the-job training plans and monitoring of placements to support success and retention",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Employment Source Toronto North - Ontario Employment Services,JVS Toronto - Head Office,416-661-3010,416-661-5716,info@jvstoronto.org,www.jvstoronto.org,"1280 Finch Ave W, Ste 607","Mon, Wed 9 am-8:30 pm; Tue, Thu 9 am-5 pm; Fri 9 am-4 pm",Lucy Lu - Manager,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in Canada",English ; Spanish ; Polish ; Russian,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
,Career Foundation - Lawrence Square - Ontario Employment Services,416-789-4862,416-781-8837,lsnewclient@careerfoundation.org,www.careerfoundation.com,Lawrence Square Mall,"Mon-Wed, Fri 8:30 am-4:30 pm, Thu 8:30 am-6 pm",Frankie He - Manager,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in Canada",English,"East York, North York, Toronto, York - Toronto"
Ontario Employment Services,Times Change Women's Employment Service,416-927-1900,416-927-7212,women@timeschange.org,www.timeschange.org,"365 Bloor St E, Ste 1003","Mon-Thu 9 am-5 pm, Fri 9 am-2:30 pm",Katie Didyk - Marketing/Outreach Coordinator,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in Canada",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Lawrence Avenue West,Career Foundation - Lawrence Square - Ontario Employment Services,416-243-0066,416-243-6802,Weston@CareerFoundation.org,www.careerfoundation.com,"2100 Lawrence Ave W, Ste 103",Mon-Fri 8:30 am-4:30 pm,Nicole M Tieze - Manager,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in Canada",English ; Italian ; Spanish ; Arabic ; Punjabi ; Somali,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Employment Services - Ontario Employment Services,Dixon Hall - Neighbourhood Services,416-956-4949,416-956-4948,esc.info@dixonhall.org,www.dixonhall.org,402 Shuter St,Mon-Fri 8:30am-4:30pm,Haris Blentic - Director,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario contact centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolEmployers can get help in identifying their human resource skill requirements, matching of position/workplace needs to participants' skills, capabilities, interests and experience, and support for developing on-the-job training plans and monitoring of placements to support success and retention",English,Toronto
Toronto. Employment and Social Services - High Park/Parkdale Social Services - Ontario Works,,Switchboard 416-397-7800 ; Application 416-397-7900 ; Employment Centre 416-397-7380,,,www.toronto.ca/socialservices/index.htm,1900 Dundas St W,"Mon, Wed, Fri 8:30 am-4:30 pm; Tue, Thu 8:30 am-6 pm",,"Client Services and Information Unit 416-392-2956 -- information on Ontario Works, including legislation and procedures * assistance with resolution of issues between OW clients and staff",,Call the Application line,"Toronto residents 18 years and older in financial need, determined by a review of income, assets and living expenses * youth 16-17 years may be eligible * people not eligible for social assistance benefits may qualify for one-time help with medical costs * ",English,"East York, Toronto"
Toronto. Employment and Social Services - Golden Mile Social Services - Ontario Works,,Switchboard 416-392-3400 ; Application 416-392-3421 ; Employment Centre 416-397-5060,,,www.toronto.ca/socialservices/index.htm,"1880 Eglinton Ave E, Unit 139","Mon, Wed, Fri 8:30 am-4:30 pm; Tue, Thu 8:30 am-6 pm",,"Client Services and Information Unit 416-392-2956 -- information on Ontario Works, including legislation and procedures * assistance with resolution of issues between OW clients and staff",,Call the Application line,"Toronto residents 18 years and older in financial need, determined by a review of income, assets and living expenses * youth 16-17 years may be eligible * people not eligible for social assistance benefits may qualify for one-time help with medical costs * ",English ; French,"East York, North York, Toronto"
Toronto. Employment and Social Services - Yonge Eglinton Social Services - Ontario Works,,Switchboard 416-397-1800 ; Application 416-397-5100 ; Employment Centre 416-397-1788,,,www.toronto.ca/socialservices/index.htm,"150 Eglinton Ave E, Ste 900","Mon-Tue, Fri 8:30 am-4:30 pm; Wed-Thu 8:30 am-6 pm",,"Client Services and Information Unit 416-392-2956 -- information on Ontario Works, including legislation and procedures * assistance with resolution of issues between OW clients and staff",,Call the Application line,"Toronto residents 18 years and older in financial need, determined by a review of income, assets and living expenses * youth 16-17 years may be eligible * people not eligible for social assistance benefits may qualify for one-time help with medical costs * ",English,"East York, North York, Toronto"
Toronto. Employment and Social Services - Lesmill Social Services - Ontario Works,,Switchboard 416-392-2850 ; Application 416-392-2811 ; Employment Centre 416-392-4107,,,www.toronto.ca/socialservices/index.htm,20 Lesmill Rd,"Mon, Wed, Fri 8:30 am-4:30 pm; Tue, Thu 8:30 am-6 pm",,"Client Services and Information Unit 416-392-2956 -- information on Ontario Works, including legislation and procedures * assistance with resolution of issues between OW clients and staff",,Call the Application line,"Toronto residents 18 years and older in financial need, determined by a review of income, assets and living expenses * youth 16-17 years may be eligible * people not eligible for social assistance benefits may qualify for one-time help with medical costs * ",English,North York
Toronto. Employment and Social Services - Queensway Social Services - Ontario Works,,Switchboard 416-392-6550 ; Application 416-397-0330 ; Employment Centre 416-397-9539,,,www.toronto.ca/socialservices/index.htm,779 The Queensway,"Mon, Thu-Fri 8:30 am-4:30 pm; Tue-Wed 8:30 am-6 pm",,"Client Services and Information Unit 416-392-2956 -- information on Ontario Works, including legislation and procedures * assistance with resolution of issues between OW clients and staff",,Call the Application line,"Toronto residents 18 years and older in financial need, determined by a review of income, assets and living expenses * youth 16-17 years may be eligible * people not eligible for social assistance benefits may qualify for one-time help with medical costs * ",English,"East York, Etobicoke, Toronto, York - Toronto"
Toronto. Employment and Social Services - Wellesley Place Social Services - Ontario Works,,Switchboard 416-392-5300 ; Application 416-392-5100 ; Employment Centre 416-392-3430,,,www.toronto.ca/socialservices/index.htm,111 Wellesley St E,"Mon-Tue, Fri 8:30 am-4:30 pm; Wed-Thu 8:30 am-6 pm",,"Client Services and Information Unit 416-392-2956 -- information on Ontario Works, including legislation and procedures * assistance with resolution of issues between OW clients and staff",,Call the Application line,"Toronto residents 18 years and older in financial need, determined by a review of income, assets and living expenses * youth 16-17 years may be eligible * people not eligible for social assistance benefits may qualify for one-time help with medical costs * ",English,"East York, Toronto"
Toronto. Employment and Social Services - Metro Hall Social Services - Ontario Works,,Switchboard 416-392-2600 ; Application 416-392-2635 ; Employment Centre 416-338-2749,,,www.toronto.ca/socialservices/index.htm,214 Wellington St W,"Mon, Thu-Fri 8:30 am-4:30 pm; Tue-Wed 8:30 am-6 pm",,"Client Services and Information Unit 416-392-2956 -- information on Ontario Works, including legislation and procedures * assistance with resolution of issues between OW clients and staff",,Call the Application line,"Toronto residents 18 years and older in financial need, determined by a review of income, assets and living expenses * youth 16-17 years may be eligible * people not eligible for social assistance benefits may qualify for one-time help with medical costs * ",English ; French,"East York, Toronto"
Toronto. Employment and Social Services - Lawrence Square Social Services - Ontario Works,,Switchboard 416-392-6500 ; Application 416-397-0185 ; Employment Centre 416-392-1358,,,www.toronto.ca/socialservices/index.htm,"700 Lawrence Ave W, Ste 330","Mon, Wed, Fri 8:30 am-4:30 pm; Tue, Thu 8:30 am-6 pm",,"Client Services and Information Unit 416-392-2956 -- information on Ontario Works, including legislation and procedures * assistance with resolution of issues between OW clients and staff",,Call the Application line,"Toronto residents 18 years and older in financial need, determined by a review of income, assets and living expenses * youth 16-17 years may be eligible * people not eligible for social assistance benefits may qualify for one-time help with medical costs * ",English,"North York, Toronto, York - Toronto"
Times Change Women's Employment Service,,416-927-1900,416-927-7212,women@timeschange.org,www.timeschange.org,"365 Bloor St E, Ste 1003","Mon-Thu 9 am-5 pm, Fri 9 am-2:30 pm",Iona Frost - Marketing/Outreach Coordinator,,None,Call for information or register online for orientation session,Open to all women,English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Toronto. Employment and Social Services - Malvern Social Services - Ontario Works,,Switchboard 416-397-1000 ; Application 416-397-1010 ; Employment Centre 416-397-1175,,,www.toronto.ca/socialservices/index.htm,"325 Milner Ave, 9th Fl","Mon, Thu-Fri 8:30 am-4:30 pm; Tue-Wed 8:30 am-6 pm",,"Client Services and Information Unit 416-392-2956 -- information on Ontario Works, including legislation and procedures * assistance with resolution of issues between OW clients and staff",,Call the Application line,"Toronto residents 18 years and older in financial need, determined by a review of income, assets and living expenses * youth 16-17 years may be eligible * people not eligible for social assistance benefits may qualify for one-time help with medical costs * ",English,Scarborough
Toronto. Employment and Social Services - Chesswood Social Services - Ontario Works,,Switchboard 416-397-9450 ; Application 416-397-9451 ; Employment Centre 416-397-9553,,,www.toronto.ca/socialservices/index.htm,1117 Finch Ave W,"Mon, Wed, Fri 8:30 am-4:30 pm; Tue, Thu 8:30 am-6 pm",,"Client Services and Information Unit 416-392-2956 -- information on Ontario Works, including legislation and procedures * assistance with resolution of issues between OW clients and staff",,Call the Application line,"Toronto residents 18 years and older in financial need, determined by a review of income, assets and living expenses * youth 16-17 years may be eligible * people not eligible for social assistance benefits may qualify for one-time help with medical costs * ",English,North York
Toronto. Employment and Social Services - Consilium Place - Ontario Works,,Switchboard 416-397-1100 ; Application 416-397-1771 ; Employment Centre 416-397-4986,,,www.toronto.ca/socialservices/index.htm,"100 Consilium Pl, 10th Fl","Mon-Tue, Fri 8:30 am-4:30 pm; Wed-Thu 8:30 am-6 pm",,"Client Services and Information Unit 416-392-2956 -- information on Ontario Works, including legislation and procedures * assistance with resolution of issues between OW clients and staff",,Call the Application line,"Toronto residents 18 years and older in financial need, determined by a review of income, assets and living expenses * youth 16-17 years may be eligible * people not eligible for social assistance benefits may qualify for one-time help with medical costs * ",English ; French,Scarborough
Toronto. Employment and Social Services - York/Humber Social Services - Ontario Works,,Switchboard 416-392-6200 ; Application 416-392-6242 ; Employment Centre 416-392-6195,,,www.toronto.ca/socialservices/index.htm,"605 Rogers Rd, Unit C2","Mon, Wed, Fri 8:30 am-4:30 pm; Tue, Thu 8:30 am-6 pm",,"Client Services and Information Unit 416-392-2956 -- information on Ontario Works, including legislation and procedures * assistance with resolution of issues between OW clients and staff",,Call the Application line,"Toronto residents 18 years and older in financial need, determined by a review of income, assets and living expenses * youth 16-17 years may be eligible * people not eligible for social assistance benefits may qualify for one-time help with medical costs * ",English ; French,"North York, Toronto, York - Toronto"
Toronto. Employment and Social Services - Beaches Social Services - Ontario Works,,Switchboard 416-392-3200 ; Application 416-392-3213 ; Employment Centre 416-397-5837,,,www.toronto.ca/socialservices/index.htm,1631 Queen St E,"Mon, Wed, Fri 8:30 am-4:30 pm; Tue, Thu 8:30 am-6 pm",,"Client Services and Information Unit 416-392-2956 -- information on Ontario Works, including legislation and procedures * assistance with resolution of issues between OW clients and staff",,Call the Application line,"Toronto residents 18 years and older in financial need, determined by a review of income, assets and living expenses * youth 16-17 years may be eligible * people not eligible for social assistance benefits may qualify for one-time help with medical costs * ",English,"East York, Toronto"
Toronto. Employment and Social Services - Kennedy Social Services - Ontario Works,,Switchboard 416-392-2800 ; Application 416-392-2725 ; Employment Centre 416-392-2749,,,www.toronto.ca/socialservices/index.htm,"1225 Kennedy Rd, Unit I","Mon, Wed, Fri 8:30 am-4:30 pm; Tue, Thu 8:30 am-6 pm",,"Client Services and Information Unit 416-392-2956 -- information on Ontario Works, including legislation and procedures * assistance with resolution of issues between OW clients and staff",,Call the Application line,"Toronto residents 18 years and older in financial need, determined by a review of income, assets and living expenses * youth 16-17 years may be eligible * people not eligible for social assistance benefits may qualify for one-time help with medical costs * ",English,"North York, Scarborough"
